commenter,responds_to,is_root_comment,post_id,created_utc,score
AspectWrong391,Curious_Parsley,False,qedc3r,1635043991.0,5
AspectWrong391,orasio,False,qedc3r,1635080472.0,2
AspectWrong391,LowWindow7816,False,qedc3r,1635029815.0,14
FefiyoBread,Nachostti,False,qedc3r,1635028627.0,22
GonCab,goncri,False,qedc3r,1635024745.0,23
FefiyoBread,goncri,False,qedc3r,1635024443.0,6
Madnezz808,goncri,False,qedc3r,1635042001.0,2
Kamika7e,Automatic_Ad8878,False,qedc3r,1635055165.0,2
llupacchino,Automatic_Ad8878,False,qedc3r,1635108736.0,1
AntiJotape,alotropico,False,qedc3r,1635032991.0,8
Enchilada_McMustang,alotropico,False,qedc3r,1635048350.0,2
uymalintencionado,alotropico,False,qedc3r,1635030261.0,3
BorderFlock,alotropico,False,qedc3r,1635034865.0,2
guille_ur,goncri,False,qedc3r,1635081129.0,3
Plane-Information700,goncri,False,qedc3r,1635038518.0,2
nacho013,martintcm,False,qedc3r,1635029681.0,18
guille_ur,martintcm,False,qedc3r,1635034206.0,3
fleetvangreta,martintcm,False,qedc3r,1635033386.0,1
javigonay,SopaDoMacaco,False,qedc3r,1635087596.0,1
llupacchino,martintcm,False,qedc3r,1635109143.0,1
goncri,oxyc,False,qedc3r,1635025946.0,4
goncri,oxyc,False,qedc3r,1635025174.0,2
uyclaudia,oxyc,False,qedc3r,1635042961.0,2
SantiEstres,juanipl,False,qedc3r,1635104102.0,2
LeoBelmont037,juanipl,False,qedc3r,1635034185.0,1
Curious_Parsley,AspectWrong391,False,qedc3r,1635044328.0,9
elmarmotachico,AspectWrong391,False,qedc3r,1635089347.0,3
Nachostti,FefiyoBread,False,qedc3r,1635028923.0,4
UruGUY98,Kamika7e,False,qedc3r,1635110151.0,1
javigonay,guille_ur,False,qedc3r,1635087379.0,6
goncri,guille_ur,False,qedc3r,1635114823.0,1
mrs1986,guille_ur,False,qedc3r,1635121548.0,1
mrs1986,Plane-Information700,False,qedc3r,1635081027.0,5
martintcm,nacho013,False,qedc3r,1635053496.0,1
martintcm,guille_ur,False,qedc3r,1635053370.0,10
martintcm,fleetvangreta,False,qedc3r,1635053318.0,1
oxyc,goncri,False,qedc3r,1635026820.0,8
0xFACFAC,uyclaudia,False,qedc3r,1635051536.0,4
juanipl,SantiEstres,False,qedc3r,1635104486.0,2
SantiEstres,SantiEstres,False,qedc3r,1635104129.0,1
juanipl,LeoBelmont037,False,qedc3r,1635034340.0,3
AspectWrong391,Curious_Parsley,False,qedc3r,1635044507.0,9
AspectWrong391,elmarmotachico,False,qedc3r,1635097165.0,2
UnHelmet,Nachostti,False,qedc3r,1635032643.0,10
Kamika7e,UruGUY98,False,qedc3r,1635113243.0,2
guille_ur,javigonay,False,qedc3r,1635088177.0,2
goncri,javigonay,False,qedc3r,1635114880.0,2
